source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	confidence	source	prediction_type	prediction_source
mondo	mondo:0013111	acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins	skos:exactMatch	icd11	icd11:421161121	Acute infantile liver failure due to mitochondrial DNA-encoded proteins synthesis defect	semapv:SemanticSimilarityThresholdMatching	0.82	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0850225	autoimmune cholangitis	skos:exactMatch	icd11	icd11:421189700	Autoimmune hepatitis with cholestasis	semapv:SemanticSimilarityThresholdMatching	0.85	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0005499	brain glioma	skos:exactMatch	icd11	icd11:422307135	Gliomas of brain	semapv:SemanticSimilarityThresholdMatching	0.81	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001270	stone in bladder diverticulum	skos:exactMatch	icd11	icd11:422370427	Calculus in diverticulum of bladder	semapv:SemanticSimilarityThresholdMatching	0.86	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0017729	metachromatic leukodystrophy, late infantile form	skos:exactMatch	icd11	icd11:422777002	Late infantile metachromatic leukodystrophy	semapv:SemanticSimilarityThresholdMatching	0.69	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001105	renal hypertension	skos:exactMatch	icd11	icd11:422807701	Secondary hypertension associated with renovascular disease	semapv:SemanticSimilarityThresholdMatching	0.71	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0006947	renovascular hypertension	skos:exactMatch	icd11	icd11:422807701	Secondary hypertension associated with renovascular disease	semapv:SemanticSimilarityThresholdMatching	0.93	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002758	vulva verrucous carcinoma	skos:exactMatch	icd11	icd11:423161711	Verrucous squamous cell carcinoma of vulva	semapv:SemanticSimilarityThresholdMatching	0.87	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0016333	familial dilated cardiomyopathy	skos:exactMatch	icd11	icd11:423719003	Familial-genetic dilated cardiomyopathy	semapv:SemanticSimilarityThresholdMatching	0.79	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010951	dilated cardiomyopathy 1B	skos:exactMatch	icd11	icd11:423719003	Familial-genetic dilated cardiomyopathy	semapv:SemanticSimilarityThresholdMatching	0.62	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0044101	pregnancy, cornual	skos:exactMatch	icd11	icd11:42419141	Rudimentary horn pregnancy	semapv:SemanticSimilarityThresholdMatching	0.61	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0004995	cardiovascular disorder	skos:exactMatch	icd11	icd11:424293435	Disorder of cardiovascular system	semapv:SemanticSimilarityThresholdMatching	0.75	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010382	fragile X-associated tremor/ataxia syndrome	skos:exactMatch	icd11	icd11:42467602	Fragile X–associated tremor or ataxia syndrome	semapv:SemanticSimilarityThresholdMatching	0.83	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010531	contractures-ectodermal dysplasia-cleft lip/palate syndrome	skos:exactMatch	icd11	icd11:425109773	Contractures - ectodermal dysplasia - cleft lip or palate	semapv:SemanticSimilarityThresholdMatching	0.73	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0004885	choroidal sclerosis	skos:exactMatch	icd11	icd11:42513607	Choroidal degeneration	semapv:SemanticSimilarityThresholdMatching	0.87	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0019739	atypical hemolytic-uremic syndrome with anti-factor H antibodies	skos:exactMatch	icd11	icd11:42524782	Atypical haemolytic uraemic syndrome with anti-factor H antibodies	semapv:SemanticSimilarityThresholdMatching	0.64	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002989	benign fibrous histiocytoma	skos:exactMatch	icd11	icd11:425706508	Dermatofibroma	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0006883	malignant superior sulcus neoplasm	skos:exactMatch	icd11	icd11:425844952	Pancoast tumour	semapv:SemanticSimilarityThresholdMatching	0.66	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
